"sps","GrowthForm","SeedMass","LNCm","SLA","Height","LeafArea"
"Tolpis barbata","annual forb","1.400000e-01",NA,NA," 0.01300000",NA
"Cynara humilis","perennial forb",NA,NA,NA,NA,NA
"Bupleurum fruticescens","shrub",NA,"13.50000"," 8.246000"," 0.77250000","9.114000e+01"
"Lonicera implexa","liana","1.290000e+01","12.56333"," 9.636000"," 5.25000000",NA
"Rosmarinus officinalis","shrub","9.487500e-01","10.28333"," 5.378615"," 8.83536364",NA
"Lavandula latifolia","subshrub","8.680000e-01","13.88000"," 7.296667"," 0.80000000",NA
"Lavandula stoechas","subshrub","7.084333e-01",NA,"19.280000",NA,"5.300000e+01"
"Teucrium fruticans","shrub",NA,NA,"12.435000",NA,NA
"Phlomis purpurea","shrub",NA,NA," 8.545000",NA,"5.250000e+02"
"Sideritis tragoriganum","perennial forb","7.790000e-01",NA,NA,NA,NA
"Digitalis purpurea","perennial forb","6.000000e-02",NA,NA,NA,NA
"Olea europaea","tree","2.195400e+02","15.65333"," 7.176333","11.53333333","2.823175e+02"
"Phillyrea angustifolia","large shrub","5.934615e+01","14.95500"," 6.240000","29.97333333","2.873867e+02"
"Nerium oleander","large shrub","3.325000e+00",NA," 5.673000",NA,NA
"Convolvulus lanuginosus","subshrub","5.490000e+00",NA,"10.777000"," 0.29300000","6.530000e+01"
"Convolvulus althaeoides","perennial forb","1.160000e+01",NA,"19.307000"," 0.46531250",NA
"Erica australis","shrub",NA,NA,"11.300000"," 1.20500000",NA
"Erica umbellata","subshrub",NA,NA,"21.900000"," 0.80000000",NA
"Erica scoparia","shrub","2.000000e-02",NA," 7.340000"," 1.93500000",NA
"Arctostaphylos uva-ursi","shrub","1.331000e+01",NA," 3.434500"," 0.84366667",NA
"Arbutus unedo","large shrub","2.702000e+00","13.71000"," 6.505500"," 5.10800000",NA
"Silene legionensis","perennial forb",NA,NA,NA,NA,NA
"Limonium carthaginense","perennial forb",NA,NA," 4.588000"," 0.04875000","4.822000e+01"
"Armeria velutina","perennial forb",NA,NA,NA,NA,NA
"Stauracanthus genistoides","shrub","4.000000e+00",NA," 1.820000","76.76000000",NA
"Ornithopus compressus","annual forb","2.185000e+00",NA,NA," 0.04300000",NA
"Anthyllis cytisoides","shrub","1.280000e+00",NA," 8.309000"," 1.25000000",NA
"Cytisus striatus","shrub",NA,NA,NA," 3.00000000",NA
"Cytisus multiflorus","shrub","7.750000e+00",NA,NA," 2.14000000",NA
"Genista hirsuta","shrub",NA,NA,NA," 8.60000000",NA
"Genista falcata","shrub",NA,NA,NA,NA,NA
"Ulex minor","shrub",NA,NA,NA,NA,NA
"Adenocarpus telonensis","shrub",NA,NA,NA,NA,NA
"Calicotome intermedia","shrub",NA,NA,NA," 1.30000000",NA
"Polygala rupestris","subshrub","2.880000e+00",NA,"16.091000"," 0.19000000",NA
"Pyrus bourgaeana","tree","2.950000e+01","21.50000","10.266667",NA,NA
"Rhamnus lycioides","large shrub","6.985556e+00","22.41500"," 9.881667"," 1.42457143","1.471200e+02"
"Quercus suber","tree",NA,"17.77000"," 6.910000","14.89666667",NA
"Quercus coccifera","large shrub","3.028695e+03","14.85000"," 6.524636"," 2.62762500",NA
"Fumana ericoides","subshrub",NA,"11.77667"," 5.220750"," 0.29985714",NA
"Cistus psilosepalus","shrub","1.160000e+00",NA,NA," 0.70000000",NA
"Cistus populifolius","shrub",NA,NA," 4.850000",NA,NA
"Cistus monspeliensis","shrub",NA,"14.72000"," 6.260429"," 1.26500000",NA
